,log message,log key,parameter value vector
13,10 18 18:01:50 Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,Registering class <*> for class <*>,"[0, 'org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType', 'org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter']"
14,10 18 18:01:50 Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://msra-sa-<*>:<*>],"[0, '41', '9000']"
15,10 18 18:01:50 Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://msra-sa-<*>:<*>],"[0, '41', '9000']"
16,10 18 18:01:50 Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://msra-sa-<*>:<*>],"[0, '41', '9000']"
17,10 18 18:01:50 Emitting job history data to the timeline server is not enabled,Emitting job history data to the timeline server is not enabled,[0]
18,10 18 18:01:50 Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,Registering class <*> for class <*>,"[0, 'org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type', 'org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler']"
19,10 18 18:01:51 loaded properties from hadoop-metrics2.properties,loaded properties from hadoop-metrics2.properties,[1]
20,10 18 18:01:51 Scheduled snapshot period at 10 second(s).,Scheduled snapshot period at <*> second(s).,"[0, '10']"
21,10 18 18:01:51 MRAppMaster metrics system started,MRAppMaster metrics system started,[0]
22,10 18 18:01:51 Adding job token for job_1445144423722_0020 to jobTokenSecretManager,Adding job token for job_<*>_<*> to jobTokenSecretManager,"[0, '1445144423722', '0020']"
23,10 18 18:01:51 Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,Not uberizing job_<*>_<*> because: not enabled; too many maps; too much input;,"[0, '1445144423722', '0020']"
24,10 18 18:01:51 Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,Input size for job job_<*>_<*> = <*>. Number of splits = <*>,"[0, '1445144423722', '0020', '1256521728', '10']"
25,10 18 18:01:51 Number of reduces for job job_1445144423722_0020 = 1,Number of reduces for job job_<*>_<*> = <*>,"[0, '1445144423722', '0020', '1']"
26,10 18 18:01:51 job_1445144423722_0020Job Transitioned from NEW to INITED,job_<*>_0020Job Transitioned from <*> to <*>,"[0, '1445144423722', 'NEW', 'INITED']"
27,"10 18 18:01:51 MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.","MRAppMaster launching normal, non-uberized, multi-container job job_<*>_<*>.","[0, '1445144423722', '0020']"
28,10 18 18:01:51 Using callQueue class java.util.concurrent.LinkedBlockingQueue,Using callQueue class java.util.concurrent.LinkedBlockingQueue,[0]
29,10 18 18:01:51 Starting Socket Reader #1 for port 62260,Starting Socket Reader #<*> for port <*>,"[0, '1', '62260']"
30,10 18 18:01:51 Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,[0]
31,10 18 18:01:51 Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com<*>,"[0, '/10.86.169.121:62260']"
32,10 18 18:01:51 IPC Server Responder: starting,IPC Server Responder: starting,[0]
33,10 18 18:01:51 IPC Server listener on 62260: starting,IPC Server listener on <*>: starting,"[0, '62260']"
34,10 18 18:01:51 Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,[0]
35,10 18 18:01:51 Http request log for http.requests.mapreduce is not defined,Http request log for http.requests.mapreduce is not defined,[0]
36,10 18 18:01:51 Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),[0]
37,10 18 18:01:51 Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context <*>,"[0, 'mapreduce']"
38,10 18 18:01:51 Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context <*>,"[0, 'static']"
39,10 18 18:01:51 adding path spec: /mapreduce/*,adding path spec: <*>,"[0, '/mapreduce/*']"
40,10 18 18:01:51 adding path spec: /ws/*,adding path spec: <*>,"[0, '/ws/*']"
41,10 18 18:01:51 Jetty bound to port 62267,Jetty bound to port <*>,"[0, '62267']"
42,10 18 18:01:51 jetty-6.1.26,jetty-<*>.<*>.<*>,"[0, '6', '1', '26']"
43,10 18 18:01:52 Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,Extract jar:file:/D:/hadoop-<*>.<*>.<*>-localbox/share/hadoop/yarn/hadoop-yarn-common-<*>.<*>.<*>-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_<*>_<*>_<*>_<*>_<*>_mapreduce____.8n7xum\webapp,"[1, '2', '6', '0', '2', '6', '0', '0', '0', '0', '0', '62267']"
44,10 18 18:01:52 Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>,"[0, '0.0.0.0:62267']"
45,10 18 18:01:52 Web app /mapreduce started at 62267,Web app /mapreduce started at <*>,"[0, '62267']"
46,10 18 18:01:53 Registered webapp guice modules,Registered webapp guice modules,[1]
47,10 18 18:01:53 Using callQueue class java.util.concurrent.LinkedBlockingQueue,Using callQueue class java.util.concurrent.LinkedBlockingQueue,[0]
48,10 18 18:01:53 JOB_CREATE job_1445144423722_0020,JOB_CREATE job_<*>_<*>,"[0, '1445144423722', '0020']"
49,10 18 18:01:53 nodeBlacklistingEnabled:true,nodeBlacklistingEnabled:true,[0]
50,10 18 18:01:53 maxTaskFailuresPerNode is 3,maxTaskFailuresPerNode is <*>,"[0, '3']"
51,10 18 18:01:53 blacklistDisablePercent is 33,blacklistDisablePercent is <*>,"[0, '33']"
52,10 18 18:01:53 Starting Socket Reader #1 for port 62270,Starting Socket Reader #<*> for port <*>,"[0, '1', '62270']"
53,10 18 18:01:53 IPC Server listener on 62270: starting,IPC Server listener on <*>: starting,"[0, '62270']"
54,10 18 18:01:53 IPC Server Responder: starting,IPC Server Responder: starting,[0]
55,10 18 18:01:53 Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030,Connecting to ResourceManager at msra-sa-<*><*>,"[0, '41/10.190.173.170:8030']"
56,"10 18 18:01:53 maxContainerCapability: <memory:8192, vCores:32>","maxContainerCapability: <memory:<*>, vCores:<*>>","[0, '<', '8192', '32>']"
57,10 18 18:01:53 queue: default,queue: default,[0]
58,10 18 18:01:53 Upper limit on the thread pool size is 500,Upper limit on the thread pool size is <*>,"[0, '500']"
59,10 18 18:01:53 yarn.client.max-cached-nodemanagers-proxies : 0,yarn.client.max-cached-nodemanagers-proxies : <*>,"[0, '0']"
60,10 18 18:01:53 job_1445144423722_0020Job Transitioned from INITED to SETUP,job_<*>_0020Job Transitioned from <*> to <*>,"[0, '1445144423722', 'INITED', 'SETUP']"
61,10 18 18:01:53 Processing the event EventType: JOB_SETUP,Processing the event EventType: <*>,"[0, 'JOB_SETUP']"
62,10 18 18:01:53 job_1445144423722_0020Job Transitioned from SETUP to RUNNING,job_<*>_0020Job Transitioned from <*> to <*>,"[0, '1445144423722', 'SETUP', 'RUNNING']"
63,10 18 18:01:53 Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-39.fareast.corp.microsoft.com']"
64,10 18 18:01:53 Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com']"
65,10 18 18:01:53 task_1445144423722_0020_m_000000 Task Transitioned from NEW to SCHEDULED,task_<*>_<*>_m_<*> Task Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000000', 'NEW', 'SCHEDULED']"
66,10 18 18:01:53 Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-39.fareast.corp.microsoft.com']"
67,10 18 18:01:53 Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com']"
68,10 18 18:01:53 task_1445144423722_0020_m_000001 Task Transitioned from NEW to SCHEDULED,task_<*>_<*>_m_<*> Task Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000001', 'NEW', 'SCHEDULED']"
69,10 18 18:01:53 Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-39.fareast.corp.microsoft.com']"
70,10 18 18:01:53 Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com']"
71,10 18 18:01:53 task_1445144423722_0020_m_000002 Task Transitioned from NEW to SCHEDULED,task_<*>_<*>_m_<*> Task Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000002', 'NEW', 'SCHEDULED']"
72,10 18 18:01:53 Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-39.fareast.corp.microsoft.com']"
73,10 18 18:01:53 Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com']"
74,10 18 18:01:53 task_1445144423722_0020_m_000003 Task Transitioned from NEW to SCHEDULED,task_<*>_<*>_m_<*> Task Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000003', 'NEW', 'SCHEDULED']"
75,10 18 18:01:53 Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-39.fareast.corp.microsoft.com']"
76,10 18 18:01:53 Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com']"
77,10 18 18:01:53 task_1445144423722_0020_m_000004 Task Transitioned from NEW to SCHEDULED,task_<*>_<*>_m_<*> Task Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000004', 'NEW', 'SCHEDULED']"
78,10 18 18:01:53 Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-39.fareast.corp.microsoft.com']"
79,10 18 18:01:53 Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com']"
80,10 18 18:01:53 task_1445144423722_0020_m_000005 Task Transitioned from NEW to SCHEDULED,task_<*>_<*>_m_<*> Task Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000005', 'NEW', 'SCHEDULED']"
81,10 18 18:01:53 Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-39.fareast.corp.microsoft.com']"
82,10 18 18:01:53 Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com']"
83,10 18 18:01:53 task_1445144423722_0020_m_000006 Task Transitioned from NEW to SCHEDULED,task_<*>_<*>_m_<*> Task Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000006', 'NEW', 'SCHEDULED']"
84,10 18 18:01:53 Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-39.fareast.corp.microsoft.com']"
85,10 18 18:01:53 Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com']"
86,10 18 18:01:53 task_1445144423722_0020_m_000007 Task Transitioned from NEW to SCHEDULED,task_<*>_<*>_m_<*> Task Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000007', 'NEW', 'SCHEDULED']"
87,10 18 18:01:53 Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-39.fareast.corp.microsoft.com']"
88,10 18 18:01:53 Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com']"
89,10 18 18:01:53 task_1445144423722_0020_m_000008 Task Transitioned from NEW to SCHEDULED,task_<*>_<*>_m_<*> Task Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000008', 'NEW', 'SCHEDULED']"
90,10 18 18:01:53 Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-39.fareast.corp.microsoft.com']"
91,10 18 18:01:53 Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MSRA-SA-41.fareast.corp.microsoft.com']"
92,10 18 18:01:53 task_1445144423722_0020_m_000009 Task Transitioned from NEW to SCHEDULED,task_<*>_<*>_m_<*> Task Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000009', 'NEW', 'SCHEDULED']"
93,10 18 18:01:53 task_1445144423722_0020_r_000000 Task Transitioned from NEW to SCHEDULED,task_<*>_<*>_r_<*> Task Transitioned from NEW to SCHEDULED,"[0, '1445144423722', '0020', '000000']"
94,10 18 18:01:53 attempt_1445144423722_0020_m_000000_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000000', '0', 'NEW', 'UNASSIGNED']"
95,10 18 18:01:53 attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000001', '0', 'NEW', 'UNASSIGNED']"
96,10 18 18:01:53 attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000002', '0', 'NEW', 'UNASSIGNED']"
97,10 18 18:01:53 attempt_1445144423722_0020_m_000003_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000003', '0', 'NEW', 'UNASSIGNED']"
98,10 18 18:01:53 attempt_1445144423722_0020_m_000004_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000004', '0', 'NEW', 'UNASSIGNED']"
99,10 18 18:01:53 attempt_1445144423722_0020_m_000005_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000005', '0', 'NEW', 'UNASSIGNED']"
100,10 18 18:01:53 attempt_1445144423722_0020_m_000006_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000006', '0', 'NEW', 'UNASSIGNED']"
101,10 18 18:01:53 attempt_1445144423722_0020_m_000007_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000007', '0', 'NEW', 'UNASSIGNED']"
102,10 18 18:01:53 attempt_1445144423722_0020_m_000008_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000008', '0', 'NEW', 'UNASSIGNED']"
103,10 18 18:01:53 attempt_1445144423722_0020_m_000009_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000009', '0', 'NEW', 'UNASSIGNED']"
104,10 18 18:01:53 attempt_1445144423722_0020_r_000000_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*>_<*>_r_<*>_<*> TaskAttempt Transitioned from NEW to UNASSIGNED,"[0, '1445144423722', '0020', '000000', '0']"
105,"10 18 18:01:53 mapResourceRequest:<memory:1024, vCores:1>","mapResourceRequest:<memory:<*>, vCores:<*>>","[0, '<', '1024', '1>']"
106,"10 18 18:01:53 Event Writer setup for JobId: job_1445144423722_0020, File: hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist","Event Writer setup for JobId: job_<*>_<*>, File: hdfs://msra-sa-<*>:<*>/tmp/hadoop-yarn/staging/msrabi/.staging/job_<*>_<*>/job_<*>_<*>_<*>.jhist","[0, '1445144423722', '0020', '41', '9000', '1445144423722', '0020', '1445144423722', '0020', '1']"
107,"10 18 18:01:53 reduceResourceRequest:<memory:1024, vCores:1>","reduceResourceRequest:<memory:<*>, vCores:<*>>","[0, '<', '1024', '1>']"
108,10 18 18:01:54 Before Scheduling: PendingReds:1 ScheduledMaps:10 ScheduledReds:0 AssignedMaps:0 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:0 ContRel:0 HostLocal:0 RackLocal:0,Before Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,"[1, '1', '10', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
109,"10 18 18:01:54 getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:10240, vCores:-17> knownNMs=4","getResources() for application_<*>_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>","[0, '1445144423722', '0020', '4', '0', '0', '0', '<', '10240', '-17>', '4']"
110,"10 18 18:01:54 Recalculating schedule, headroom=<memory:10240, vCores:-17>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '10240', '-17>']"
111,10 18 18:01:54 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
112,"10 18 18:01:55 Recalculating schedule, headroom=<memory:10240, vCores:-17>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '10240', '-17>']"
113,10 18 18:01:55 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
114,10 18 18:01:56 Got allocated containers 1,Got allocated containers <*>,"[1, '1']"
115,10 18 18:01:56 Resolved 04DN8IQ.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, '04DN8IQ.fareast.corp.microsoft.com']"
116,10 18 18:01:56 Assigned container container_1445144423722_0020_01_000002 to attempt_1445144423722_0020_m_000000_0,Assigned container container_<*>_<*>_<*>_<*> to attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '01', '000002', '1445144423722', '0020', '000000', '0']"
117,"10 18 18:01:56 Recalculating schedule, headroom=<memory:8192, vCores:-19>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '8192', '-19>']"
118,10 18 18:01:56 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
119,10 18 18:01:56 After Scheduling: PendingReds:1 ScheduledMaps:9 ScheduledReds:0 AssignedMaps:1 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:1 ContRel:0 HostLocal:0 RackLocal:1,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,"[0, '1', '9', '0', '1', '0', '0', '0', '1', '0', '0', '1']"
120,10 18 18:01:57 Resolved 04DN8IQ.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[1, '04DN8IQ.fareast.corp.microsoft.com']"
121,10 18 18:01:57 The job-jar file on the remote FS is hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.jar,The <*> file on the remote FS is <*>,"[0, 'job-jar', 'hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.jar']"
122,10 18 18:01:57 The job-conf file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.xml,The <*> file on the remote FS is <*>,"[0, 'job-conf', '/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.xml']"
123,10 18 18:01:57 Adding #0 tokens and #1 secret keys for NM use for launching container,Adding #<*> tokens and #<*> secret keys for NM use for launching container,"[0, '0', '1']"
124,10 18 18:01:57 Size of containertokens_dob is 1,Size of containertokens_dob is <*>,"[0, '1']"
125,10 18 18:01:57 Putting shuffle token in serviceData,Putting shuffle token in serviceData,[0]
126,10 18 18:01:57 attempt_1445144423722_0020_m_000000_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000000', '0', 'UNASSIGNED', 'ASSIGNED']"
127,10 18 18:01:57 Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000002 taskAttempt attempt_1445144423722_0020_m_000000_0,Processing the event EventType: <*> for container container_<*>_<*>_<*>_<*> taskAttempt attempt_<*>_<*>_m_<*>_<*>,"[0, 'CONTAINER_REMOTE_LAUNCH', '1445144423722', '0020', '01', '000002', '1445144423722', '0020', '000000', '0']"
128,10 18 18:01:57 Launching attempt_1445144423722_0020_m_000000_0,Launching attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '000000', '0']"
129,10 18 18:01:57 Opening proxy : 04DN8IQ.fareast.corp.microsoft.com:54883,Opening proxy : <*>,"[0, '04DN8IQ.fareast.corp.microsoft.com:54883']"
130,10 18 18:01:57 Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000000_0 : 13562,Shuffle port returned by ContainerManager for attempt_<*>_<*>_m_<*>_<*> : <*>,"[0, '1445144423722', '0020', '000000', '0', '13562']"
131,10 18 18:01:57 TaskAttempt: [attempt_1445144423722_0020_m_000000_0] using containerId: [container_1445144423722_0020_01_000002 on NM: [04DN8IQ.fareast.corp.microsoft.com:54883],TaskAttempt: [attempt_<*>_<*>_m_<*>_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: <*>,"[0, '1445144423722', '0020', '000000', '0', '1445144423722', '0020', '01', '000002', '[04DN8IQ.fareast.corp.microsoft.com:54883]']"
